File 0164_0.9_0.2.jpg: PSNR=18.10, SSIM=0.8832, time=0.0428s
File 0165_0.9_0.2.jpg: PSNR=19.24, SSIM=0.9082, time=0.0393s
File 0166_0.8_0.16.jpg: PSNR=15.82, SSIM=0.8274, time=0.0369s
File 0167_0.8_0.12.jpg: PSNR=13.81, SSIM=0.8281, time=0.0367s
File 0168_0.9_0.16.jpg: PSNR=18.22, SSIM=0.8792, time=0.0370s
File 0169_0.9_0.12.jpg: PSNR=20.18, SSIM=0.8927, time=0.0360s
File 0170_0.8_0.2.jpg: PSNR=18.97, SSIM=0.8785, time=0.0386s
File 0171_0.85_0.12.jpg: PSNR=31.86, SSIM=0.9849, time=0.0409s
File 0172_0.85_0.08.jpg: PSNR=13.63, SSIM=0.8845, time=0.0373s
File 0174_0.95_0.08.jpg: PSNR=15.66, SSIM=0.8768, time=0.0419s
File 0175_0.85_0.16.jpg: PSNR=19.27, SSIM=0.9131, time=0.0364s
File 0176_1_0.08.jpg: PSNR=21.03, SSIM=0.9217, time=0.0403s
File 0178_0.8_0.12.jpg: PSNR=17.49, SSIM=0.9275, time=0.0475s
File 0179_0.8_0.2.jpg: PSNR=20.99, SSIM=0.9356, time=0.0385s
File 0180_0.85_0.16.jpg: PSNR=20.84, SSIM=0.9530, time=0.0469s
File 0181_0.9_0.08.jpg: PSNR=18.24, SSIM=0.9131, time=0.0431s
File 0182_0.8_0.16.jpg: PSNR=18.17, SSIM=0.9129, time=0.0438s
File 0183_0.8_0.16.jpg: PSNR=17.68, SSIM=0.9144, time=0.0568s
File 0184_0.95_0.12.jpg: PSNR=21.34, SSIM=0.9555, time=0.0489s
File 0185_1_0.16.jpg: PSNR=12.30, SSIM=0.7942, time=0.0405s
File 0187_0.9_0.2.jpg: PSNR=19.36, SSIM=0.9351, time=0.0455s
File 0188_0.85_0.08.jpg: PSNR=16.53, SSIM=0.8513, time=0.0420s
File 0189_0.85_0.2.jpg: PSNR=16.05, SSIM=0.8430, time=0.0480s
File 0191_1_0.08.jpg: PSNR=22.63, SSIM=0.9527, time=0.0409s
File 0194_1_0.2.jpg: PSNR=17.70, SSIM=0.8786, time=0.0430s
File 0195_1_0.08.jpg: PSNR=20.44, SSIM=0.8816, time=0.0437s
File 0196_0.9_0.2.jpg: PSNR=16.89, SSIM=0.8926, time=0.0462s
File 0197_0.8_0.16.jpg: PSNR=20.25, SSIM=0.8844, time=0.0546s
File 0198_0.95_0.12.jpg: PSNR=19.11, SSIM=0.9185, time=0.0468s
File 0199_1_0.16.jpg: PSNR=16.80, SSIM=0.8994, time=0.0433s
File 0200_1_0.12.jpg: PSNR=22.83, SSIM=0.9328, time=0.0464s
File 0201_1_0.08.jpg: PSNR=15.56, SSIM=0.8887, time=0.0523s
File 0202_0.85_0.12.jpg: PSNR=25.01, SSIM=0.9623, time=0.0478s
File 0204_0.8_0.08.jpg: PSNR=18.23, SSIM=0.8847, time=0.0518s
File 0205_1_0.16.jpg: PSNR=20.74, SSIM=0.9327, time=0.0661s
File 0206_1_0.12.jpg: PSNR=15.33, SSIM=0.8684, time=0.0427s
File 0207_1_0.08.jpg: PSNR=13.59, SSIM=0.8657, time=0.0713s
File 0208_0.8_0.16.jpg: PSNR=16.65, SSIM=0.8633, time=0.0383s
File 0209_0.85_0.08.jpg: PSNR=13.02, SSIM=0.7541, time=0.0416s
File 0210_0.85_0.2.jpg: PSNR=21.84, SSIM=0.9376, time=0.0401s
File 0212_0.9_0.2.jpg: PSNR=15.07, SSIM=0.8067, time=0.0408s
File 0213_1_0.2.jpg: PSNR=20.78, SSIM=0.9079, time=0.0471s
File 0215_0.8_0.08.jpg: PSNR=22.68, SSIM=0.8378, time=0.0897s
File 0216_1_0.12.jpg: PSNR=13.36, SSIM=0.8492, time=0.0573s
File 0217_1_0.2.jpg: PSNR=18.13, SSIM=0.8759, time=0.0400s
File 0218_0.9_0.2.jpg: PSNR=15.25, SSIM=0.8919, time=0.0442s
File 0219_0.85_0.08.jpg: PSNR=14.09, SSIM=0.8371, time=0.0507s
File 0220_0.85_0.2.jpg: PSNR=15.33, SSIM=0.8377, time=0.0750s
File 0222_0.85_0.16.jpg: PSNR=12.58, SSIM=0.8178, time=0.0448s
File 0223_0.95_0.16.jpg: PSNR=17.18, SSIM=0.8684, time=0.0414s
File 0225_0.8_0.2.jpg: PSNR=25.02, SSIM=0.9212, time=0.0471s
File 0226_0.8_0.2.jpg: PSNR=9.39, SSIM=0.7546, time=0.0629s
File 0228_1_0.2.jpg: PSNR=18.95, SSIM=0.8800, time=0.0623s
File 0230_0.9_0.16.jpg: PSNR=10.33, SSIM=0.6988, time=0.0523s
File 0233_0.8_0.12.jpg: PSNR=12.90, SSIM=0.8314, time=0.0582s
File 0235_0.9_0.08.jpg: PSNR=19.21, SSIM=0.9141, time=0.0568s
File 0237_0.8_0.12.jpg: PSNR=16.84, SSIM=0.8846, time=0.0556s
File 0238_0.8_0.2.jpg: PSNR=13.05, SSIM=0.7969, time=0.0522s
File 0239_0.8_0.2.jpg: PSNR=14.07, SSIM=0.7910, time=0.0616s
File 0240_1_0.08.jpg: PSNR=24.73, SSIM=0.9609, time=0.0554s
File 0242_0.8_0.12.jpg: PSNR=15.55, SSIM=0.8531, time=0.0625s
File 0243_0.8_0.08.jpg: PSNR=11.61, SSIM=0.7156, time=0.0543s
File 0244_0.9_0.12.jpg: PSNR=20.07, SSIM=0.9492, time=0.0576s
File 0245_1_0.2.jpg: PSNR=16.40, SSIM=0.8759, time=0.0589s
File 0246_0.85_0.12.jpg: PSNR=12.95, SSIM=0.8380, time=0.0593s
File 0248_0.8_0.08.jpg: PSNR=14.71, SSIM=0.8313, time=0.0535s
File 0249_1_0.12.jpg: PSNR=21.75, SSIM=0.9157, time=0.0563s
File 0251_0.8_0.16.jpg: PSNR=19.84, SSIM=0.8783, time=0.0540s
File 0253_0.8_0.2.jpg: PSNR=15.32, SSIM=0.8494, time=0.0619s
File 0253_1_0.16.jpg: PSNR=17.00, SSIM=0.8726, time=0.0472s
File 0255_0.85_0.08.jpg: PSNR=16.50, SSIM=0.9055, time=0.0370s
File 0256_0.95_0.16.jpg: PSNR=18.02, SSIM=0.8666, time=0.0396s
File 0258_0.8_0.2.jpg: PSNR=16.74, SSIM=0.8907, time=0.0477s
File 0259_0.9_0.08.jpg: PSNR=14.22, SSIM=0.8503, time=0.0497s
File 0260_0.9_0.2.jpg: PSNR=14.45, SSIM=0.8599, time=0.0419s
File 0261_0.85_0.08.jpg: PSNR=16.88, SSIM=0.8650, time=0.0438s
File 0262_0.95_0.12.jpg: PSNR=15.36, SSIM=0.8548, time=0.0405s
File 0263_0.95_0.08.jpg: PSNR=19.64, SSIM=0.8790, time=0.0796s
File 0264_0.95_0.2.jpg: PSNR=17.32, SSIM=0.8494, time=0.0452s
File 0266_0.8_0.12.jpg: PSNR=12.69, SSIM=0.7455, time=0.0391s
File 0267_0.9_0.16.jpg: PSNR=15.05, SSIM=0.7878, time=0.0443s
File 0268_0.9_0.16.jpg: PSNR=21.33, SSIM=0.9159, time=0.0403s
File 0269_0.95_0.2.jpg: PSNR=14.85, SSIM=0.8421, time=0.0431s
File 0270_0.85_0.16.jpg: PSNR=13.23, SSIM=0.8127, time=0.0462s
File 0271_0.85_0.12.jpg: PSNR=15.61, SSIM=0.8653, time=0.0375s
File 0272_0.85_0.08.jpg: PSNR=16.63, SSIM=0.9014, time=0.0365s
File 0273_0.85_0.2.jpg: PSNR=12.70, SSIM=0.7988, time=0.0377s
File 0274_0.95_0.12.jpg: PSNR=11.47, SSIM=0.8067, time=0.0446s
File 0275_1_0.16.jpg: PSNR=26.03, SSIM=0.9423, time=0.0465s
File 0276_1_0.12.jpg: PSNR=15.27, SSIM=0.8693, time=0.0458s
File 0277_1_0.08.jpg: PSNR=14.13, SSIM=0.8434, time=0.0516s
File 0279_0.8_0.12.jpg: PSNR=15.72, SSIM=0.8403, time=0.0453s
File 0280_0.9_0.16.jpg: PSNR=14.85, SSIM=0.8227, time=0.0558s
File 0281_0.9_0.12.jpg: PSNR=10.86, SSIM=0.7458, time=0.0581s
File 0282_0.85_0.16.jpg: PSNR=15.38, SSIM=0.8598, time=0.0458s
File 0283_0.85_0.12.jpg: PSNR=14.39, SSIM=0.8165, time=0.0492s
File 0284_0.8_0.16.jpg: PSNR=21.02, SSIM=0.9568, time=0.0412s
File 0285_0.85_0.2.jpg: PSNR=23.73, SSIM=0.9292, time=0.0428s
File 0286_0.8_0.08.jpg: PSNR=14.52, SSIM=0.8332, time=0.0465s
File 0287_0.8_0.2.jpg: PSNR=11.32, SSIM=0.7701, time=0.0465s
File 0287_0.95_0.08.jpg: PSNR=11.46, SSIM=0.8033, time=0.0483s
File 0288_0.95_0.2.jpg: PSNR=18.44, SSIM=0.8789, time=0.0392s
File 0290_0.85_0.08.jpg: PSNR=12.57, SSIM=0.7725, time=0.0409s
File 0291_0.95_0.12.jpg: PSNR=13.26, SSIM=0.7886, time=0.0420s
File 0292_1_0.16.jpg: PSNR=13.07, SSIM=0.8132, time=0.0381s
File 0294_1_0.2.jpg: PSNR=13.69, SSIM=0.8262, time=0.0383s
File 0295_0.85_0.08.jpg: PSNR=22.63, SSIM=0.9511, time=0.0393s
File 0296_0.95_0.12.jpg: PSNR=18.28, SSIM=0.8682, time=0.0441s
File 0297_0.95_0.08.jpg: PSNR=26.77, SSIM=0.9699, time=0.0447s
File 0298_1_0.12.jpg: PSNR=22.52, SSIM=0.9333, time=0.0307s
File 0299_0.9_0.08.jpg: PSNR=18.43, SSIM=0.8968, time=0.0433s
File 0300_1_0.2.jpg: PSNR=13.54, SSIM=0.8123, time=0.0451s
File 0302_0.9_0.16.jpg: PSNR=15.43, SSIM=0.8550, time=0.0430s
File 0303_0.9_0.12.jpg: PSNR=14.35, SSIM=0.8648, time=0.0461s
File 0304_0.9_0.08.jpg: PSNR=11.45, SSIM=0.7844, time=0.0489s
